frekvencia	teljesitmeny	csatorna	adohely	cim
101.3	1	Rádió Eger 	Eger	Almagyar-domb 
102.5	0.48	Gold FM Tatabánya 	Tatabánya	Árpád Hotel 
96.7	0.3	Klubrádió 	Tatabánya	Árpád Hotel 
106.5	1	Gold FM Miskolc	Miskolc	Avas 
98.3	5.6	Klassz Rádió  	Miskolc	Avas 
103.8	5	MR1-Kossuth Rádió 	Miskolc	Avas 
107.5	1.4	MR3-Bartók Rádió 	Miskolc	Avas 
102.3	1.4	MR6-A Régió Rádiója-Miskolc 	Miskolc	Avas 
97.1	5.6	Neo FM 	Miskolc	Avas 
103	1	Sztár FM 	Miskolc	Avas 
96.3	0.25	Új Juventus 	Miskolc	Avas 
91	0.01	István Király Rádió 	Győr	Bácsa 
93.6	3	MR1-Kossuth Rádió 	Siófok	Balatonszabadi-Sóstó 
102.6	0.1	MR1-Kossuth Rádió 	Zalaegerszeg	Bazita 
93.5	0.001	Kolumbusz Rádió 	Etyek	Botpuszta 
93.7	0.005	Csillaghang Rádió 	Budapest	Budafok
107.9	6.9	MR3-Bartók Rádió 	Sopron	Dalos-hegy
104.6	0.6	Corvinus Rádió 	Sopron	Dalos-hegy 
102	22.4	Klassz Rádió  	Sopron	Dalos-hegy 
101.6	0.5	MR1-Kossuth Rádió 	Sopron	Dalos-hegy 
99.5	8.9	MR2-Petőfi Rádió 	Sopron	Dalos-hegy 
94.1	0.5	Nap Rádió 	Sopron	Dalos-hegy 
96.8	8.9	Neo FM 	Sopron	Dalos-hegy 
92.4	0.001	Diósgyőr Rádió 	Miskolc	Diósgyőr 
92.5	0.1	Kék Duna Rádió Győr 	Esztergom	Elő-hegy 
98.1	0.1	Klubrádió 	Esztergom	Elő-hegy 
97	0.0005	Első Pesti Egyetemi Rádió (EPER) 	Budapest	ELTE
103.1	0.1	OXYGEN FM	Győr	Erzsébetliget 
105.9	3.2	Gazdasági Rádió 	Budapest	Gellért-hegy 
92.9	5	Magyar Katolikus Rádió	Budapest	Gellért-hegy 
103.9	5	Rádió 1 	Budapest	Gellért-hegy 
99.5	5	Rádió Q 	Budapest	Gellért-hegy 
88.1	1	Rise FM 	Budapest	Gellért-hegy 
96.4	2.5	Roxy Rádió 	Budapest	Gellért-hegy 
107.3	0.01	Cool FM 	Budapest	Gyáli út 
103.6	5	MR1-Kossuth Rádió 	Vasvár	Hegyhátsál 
98.2	7.5	MR2-Petőfi Rádió 	Vasvár	Hegyhátsál 
106.9	3	MR3-Bartók Rádió 	Vasvár	Hegyhátsál 
91.6	6.8	Neo FM 	Vasvár	Hegyhátsál 
87.8	0.0006	Remete Rádió 	Pécs	Istenkút 
97.9	0.01	Campus Rádió 	Nyíregyháza	Jósaváros 
97.7	0.1	Rádió Szentgotthárd/Monošter 	Felsőszölnök	Kakas-domb 
90.6	0.25	Rádió 1 	Pécs	Kertváros 
95.1	1.74	MR2-Petőfi Rádió 	Csengőd	Kiskőrös 
105.9	3	MR3-Bartók Rádió 	Csengőd	Kiskőrös 
88.4	2	Neo FM 	Csengőd	Kiskőrös 
107	0.275	Kék Duna Rádió Győr 	Tatabánya	Kő-hegy 
97.8	0.1	Rádió Radír 	Tatabánya	Kő-hegy 
98	0.138	Civil Rádió 	Budapest	Lágymányos 
91.9	1	MR1-Kossuth Rádió 	Sátoraljaújhely	Magas-hegy 
100	0.94	Rádió Aktív FM 100.0 MHz 	Sátoraljaújhely	Magas-hegy 
90.6	1	Szent István Rádió 	Sátoraljaújhely	Magas-hegy 
87.8	0.0005	Origóház Rádió 	Pécs	Mecsekszabolcs 
90.4	0.1	Gondola Rádió 	Velence	Meleg-hegy 
105.5	50.1	Klassz Rádió  	Pécs	Misina-tető 
104.6	5	MR1-Kossuth Rádió 	Pécs	Misina-tető 
103.7	49.5	MR2-Petőfi Rádió 	Pécs	Misina-tető 
107.6	10	MR3-Bartók Rádió 	Pécs	Misina-tető 
