kié_azonosító,kiadott_dalok,kiadatlan_dal,átlagos_hallgatottság
M001,Nyári Szél,-,5000000
M001,Téli Éjszakák,Elfeledett Dallam,2500000
M002,Highway to Dreams,-,10000000
M002,Steel Heart,Lost Demo,8000000
M003,Emlékek Könyve,-,1200000
M004,Golden Voices,-,7000000
M004,Echoes of Love,Midnight Groove,4500000
M005,Electric Pulse,-,15000000
M005,Nightdrive,-,12000000
M006,Közös Út,-,900000
M007,Dusty Roads,Whispering Pines,3000000
M007,Old Town Anthem,-,2500000
M008,Pixel Dream,-,6000000
M008,Cybernetic Flow,Beta Loop,5500000
M009,Forest Lullaby,-,1200000
M010,Iron Will,-,9000000
M010,Shadows of Fury,Unleashed Power,7500000
M011,Emerald Isle,-,1500000
M012,Ébredő Szerelem,-,25000000
M012,Táncolj Velem,Nyári Sláger Demo,20000000
M012,Csillagfény,-,18000000
M013,Blue Note Serenade,-,2000000
M014,Crossroads Lament,Delta Blues Draft,2800000
M015,Street Rhyme,-,11000000
M015,Concrete Jungle,Lost Verse,9500000
M016,Változó Évszakok,-,800000
M017,Island Breeze,-,4000000
M018,Quiet Moments,Zen Garden Sketch,1300000
M019,Boogie Wonderland,-,3500000
M020,Hallelujah Spirit,-,2200000
M021,Neon Lights,Digital Reverie,6500000
M021,Synthetic Dawn,-,5800000
M022,Aria of Silence,-,950000
